OBJECTID;Shape;CODIGO_TRATAMIENTO;NOMBRE;CLASE_SUELO;CATEGORIA_SUELO;CATDLLORESTRING;Shape_Length;Shape_Area
70;(830425.1267261555, 1180545.1649667867);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,47573E+16;1,14915E+15
;;;;;;;;
71;(840742.8934430601, 1180589.1080208179);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,07223E+16;5,80487E+15
;;;;;;;;
72;(838710.4334456633, 1180475.5528685);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,66888E+15;1,45216E+16
;;;;;;;;
73;(837036.5520266813, 1180772.0946456785);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;9,13518E+15;3,17996E+16
;;;;;;;;
74;(827263.4764538642, 1181086.3153470906);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;7,96579E+15;2,46378E+16
;;;;;;;;
75;(826623.7724040839, 1181161.2278312969);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;3,10272E+12;4,0987E+15
;;;;;;;;
76;(821085.2039773345, 1181265.4788392638);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,6922E+15;2,95686E+15
;;;;;;;;
77;(839769.3992222461, 1181565.6112327217);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;8,80007E+15;3,57923E+16
;;;;;;;;
78;(825453.6517869128, 1181572.7188813547);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,15845E+16;2,79505E+16
;;;;;;;;
79;(827020.7220479706, 1181510.0066852234);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,13219E+15;4,31508E+15
;;;;;;;;
80;(840599.9068739474, 1181844.0286637007);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;3,10881E+15;3,28326E+16
;;;;;;;;
81;(824084.3777235578, 1181985.772883217);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,05396E+16;2,60309E+16
;;;;;;;;
82;(844254.0198557905, 1182100.305165322);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;4,2798E+16;1,10479E+16
;;;;;;;;
83;(828489.8158459957, 1181760.915287257);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,51197E+16;3,25014E+15
;;;;;;;;
84;(844256.8369999999, 1182137.33615);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,03996E+16;2,55191E+16
;;;;;;;;
85;(839696.6452411141, 1181888.4893219664);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;4,34816E+15;3,81816E+16
;;;;;;;;
86;(841106.5574154097, 1182416.8614445985);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;4,52105E+15;9,86273E+14
;;;;;;;;
87;(828969.9699163411, 1182466.2780208888);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,35004E+16;3,3672E+16
;;;;;;;;
88;(838143.3700729334, 1182699.8896507495);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;4,98942E+15;1,08482E+16
;;;;;;;;
89;(827337.9367453648, 1182733.6796344821);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;4,92373E+16;1,13758E+16
;;;;;;;;
90;(838118.541127702, 1184148.261413496);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,10714E+16;1,86696E+15
;;;;;;;;
91;(841996.4915999466, 1184235.925176668);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,4812E+16;1,00546E+16
;;;;;;;;
92;(828102.6752235824, 1184461.2749099934);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,11914E+16;6,99103E+15
;;;;;;;;
93;(824778.2533018669, 1185025.6710362046);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;4,16217E+16;1,08336E+16
;;;;;;;;
94;(827209.0089522175, 1185362.7839988314);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,5357E+16;9,14192E+15
;;;;;;;;
95;(826578.6176460653, 1185808.7528567074);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,38767E+15;3,48476E+16
;;;;;;;;
96;(843229.6405371478, 1185883.1706020022);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,36358E+16;7,86219E+14
;;;;;;;;
97;(825960.2956997643, 1186100.229323504);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,53657E+15;1,50194E+15
;;;;;;;;
98;(842980.3675679418, 1186144.653943357);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,72041E+16;1,74149E+16
;;;;;;;;
99;(842977.6285036331, 1186194.1495373524);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,92963E+16;4,23609E+15
;;;;;;;;
100;(842897.0149920948, 1186219.7268481767);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,12186E+16;7,64201E+15
;;;;;;;;
101;(821928.4220160859, 1186437.629481765);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;3,60429E+16;8,18284E+14
;;;;;;;;
102;(838399.4023478144, 1186525.5942831973);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;4,30882E+15;1,30157E+16
;;;;;;;;
103;(842437.4591891245, 1186587.129458719);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,1401E+16;2,89981E+15
;;;;;;;;
104;(827534.1806693267, 1186594.8899383098);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;8,27421E+15;3,1257E+15
;;;;;;;;
105;(841088.000787424, 1186554.1557657372);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;9,96525E+15;3,61295E+15
;;;;;;;;
106;(838803.2241539389, 1186712.9706058237);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;5,70762E+15;1,20788E+15
;;;;;;;;
107;(826969.7536537704, 1186905.8794780907);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,43355E+16;1,11064E+16
;;;;;;;;
108;(826773.2283633082, 1187119.343672122);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;3,82004E+16;7,99788E+15
;;;;;;;;
109;(826923.4208166027, 1187159.8206840393);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;5,37533E+14;1,15456E+15
;;;;;;;;
110;(825563.8704370923, 1187373.2556470793);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;4,1384E+15;9,24553E+15
;;;;;;;;
111;(838501.9030861323, 1187429.6440139022);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,3452E+16;4,60223E+15
;;;;;;;;
112;(826857.4698083623, 1187504.8683724857);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,23549E+16;5,57372E+15
;;;;;;;;
113;(826156.7705248905, 1187651.9192790007);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;3,6663E+15;2,39787E+14
;;;;;;;;
114;(825430.1511349059, 1188032.1989808364);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,71696E+16;1,75099E+16
;;;;;;;;
115;(830324.5289834329, 1188059.1172145624);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;9,1419E+15;4,53188E+15
;;;;;;;;
116;(830546.5317137637, 1188244.2279705375);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;7,17006E+15;2,68647E+15
;;;;;;;;
117;(830687.3507029394, 1188252.931879992);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,43187E+16;1,46721E+16
;;;;;;;;
118;(832385.7566459912, 1188222.9183548763);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;7,10906E+15;3,07349E+15
;;;;;;;;
119;(831084.8925704596, 1188302.6136724544);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;5,11363E+14;1,27558E+16
;;;;;;;;
120;(832774.2331791702, 1188308.4827969074);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;7,43765E+15;3,48985E+16
;;;;;;;;
121;(831543.9406886947, 1188083.908267513);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,45072E+16;1,6778E+15
;;;;;;;;
122;(827943.7415818201, 1188548.4826732783);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;4,91582E+15;1,3376E+16
;;;;;;;;
123;(825228.0953716739, 1188833.4288304462);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;9,74561E+15;5,22315E+15
;;;;;;;;
124;(829441.9159279963, 1188897.9163589964);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,67886E+16;1,38899E+16
;;;;;;;;
125;(829499.4477678146, 1188933.75758226);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;3,15984E+15;4,67968E+15
;;;;;;;;
126;(827092.8772512279, 1189050.3699442844);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;5,39851E+15;1,03327E+16
;;;;;;;;
127;(832088.2107746926, 1189109.545523557);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,39957E+16;2,8865E+16
;;;;;;;;
128;(832933.9027525678, 1189441.0653947312);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;4,85243E+16;7,89479E+15
;;;;;;;;
129;(830880.2985979536, 1189788.2834062758);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;8,43874E+15;3,62447E+16
;;;;;;;;
130;(825105.7449640029, 1190339.2059184862);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,93464E+16;2,29208E+15
;;;;;;;;
131;(819912.3654369252, 1190947.1249715325);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,70032E+15;3,00422E+16
;;;;;;;;
132;(820603.3162045974, 1192034.5429888093);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;3,60427E+15;7,01258E+14
;;;;;;;;
133;(821133.479692717, 1192312.7339291528);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;5,14527E+16;1,46128E+16
;;;;;;;;
134;(821085.6518611558, 1192300.7704047144);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,60114E+15;4,11635E+15
;;;;;;;;
135;(821881.7266723767, 1193334.4287490216);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,27127E+16;1,02237E+16
;;;;;;;;
136;(822131.9328375275, 1193637.8155868012);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;6,9581E+15;2,32773E+16
;;;;;;;;
137;(818976.555615036, 1193784.1963330514);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,87524E+16;4,18991E+11
;;;;;;;;
138;(820446.3529375334, 1194903.502527915);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;1,05939E+16;6,38381E+15
;;;;;;;;
139;(819047.0765432726, 1194898.0315115189);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;2,44695E+15;2,60057E+16
;;;;;;;;
140;(820267.5752788405, 1196317.7098401866);N/A;;Rural;N/A;Áreas para la localizacion de equipamientos;8,60037E+14;4,19112E+15
;;;;;;;;
141;(824622.1816210882, 1175289.914353445);N/A;;Rural;N/A;N/A;1,60159E+16;3,67474E+16
;;;;;;;;
142;(841866.7862182534, 1177596.7995681434);N/A;;Rural;N/A;N/A;2,4233E+16;2,42344E+16
;;;;;;;;
143;(841541.4957572256, 1177684.545510491);N/A;;Rural;N/A;N/A;6,09986E+15;2,23251E+15
;;;;;;;;
144;(841822.6314842078, 1178668.9980717606);N/A;;Rural;N/A;N/A;1,7606E+16;1,83974E+16
;;;;;;;;
145;(836116.3895423724, 1179911.0719669021);N/A;;Rural;N/A;N/A;2,07856E+15;4,58623E+15
;;;;;;;;
146;(836889.2001900872, 1180489.5724465563);N/A;;Rural;N/A;N/A;4,0143E+16;2,34713E+16
;;;;;;;;
147;(836988.3773952828, 1180827.7737214388);N/A;;Rural;N/A;N/A;1,7851E+15;9,07918E+15
;;;;;;;;
148;(837976.7546220785, 1183931.1024732532);N/A;;Rural;N/A;N/A;1,0477E+16;3,46714E+15
;;;;;;;;
149;(828682.3641852482, 1184310.516874947);N/A;;Rural;N/A;N/A;2,33996E+16;1,82434E+16
;;;;;;;;
150;(831725.7718124796, 1187846.099615049);N/A;;Rural;N/A;N/A;2,42383E+16;3,93108E+16
;;;;;;;;
151;(840832.4148246408, 1181878.6298387838);N/A;;Rural;N/A;N/A;1,331E+16;6,09453E+15
;;;;;;;;
152;(824127.1662193611, 1185546.1206458253);N/A;;Rural;N/A;N/A;1,80974E+16;1,80126E+15
;;;;;;;;
153;(834084.0515703148, 1183086.5976597555);N/A;;Urbano;N/A;N/A;9,13475E+15;1,03714E+16
;;;;;;;;
154;(821757.0356566655, 1193403.724855337);PA-CNS1-05;Palmitas Central;Rural;Suburbano;Áreas para la localizacion de equipamientos;2,59784E+16;3,54242E+15
;;;;;;;;
155;(821467.6575992908, 1193410.3867547945);PA-CNS1-05;Palmitas Central;Rural;Suburbano;Áreas para la localizacion de equipamientos;2,07417E+16;2,04631E+16
;;;;;;;;
156;(821718.5217929457, 1193453.1671584058);PA-CNS1-05;Palmitas Central;Rural;Suburbano;Áreas para la localizacion de equipamientos;2,38595E+16;3,10785E+15
;;;;;;;;
157;(821393.6699452274, 1193522.0197770696);PA-CNS1-05;Palmitas Central;Rural;Suburbano;Áreas para la localizacion de equipamientos;6,12725E+15;1,93102E+16
;;;;;;;;
158;(821380.5549591781, 1193615.192146908);PA-CNS1-05;Palmitas Central;Rural;Suburbano;Áreas para la localizacion de equipamientos;5,36246E+15;1,1199E+16
;;;;;;;;
159;(821338.7085656361, 1193672.3285342287);PA-CNS1-05;Palmitas Central;Rural;Suburbano;Centros poblados rurales;2,38962E+15;3,08341E+15
;;;;;;;;
160;(821487.0487970797, 1193487.9173541467);PA-CNS1-05;Palmitas Central;Rural;Suburbano;Centros poblados rurales;3,16821E+16;1,55566E+15
;;;;;;;;
161;(820350.5324700178, 1193202.9155355883);PA-CNS4-01;Aldea;Rural;Suburbano;Áreas para la localizacion de equipamientos;6,25951E+15;1,65022E+16
;;;;;;;;
162;(820007.7829925081, 1193317.226927065);PA-CNS4-01;Aldea;Rural;Suburbano;Áreas para la localizacion de equipamientos;6,44563E+15;2,23758E+16
;;;;;;;;
163;(819982.6708608466, 1193312.002890773);PA-CNS4-01;Aldea;Rural;Suburbano;Áreas para la localizacion de equipamientos;9,8976E+15;4,99806E+16
;;;;;;;;
164;(819981.4830718383, 1193351.844551175);PA-CNS4-01;Aldea;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,25154E+16;8,02594E+15
;;;;;;;;
165;(820138.2860420397, 1193357.0863167834);PA-CNS4-01;Aldea;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,05894E+15;7,62872E+15
;;;;;;;;
166;(820175.6477935604, 1193266.0878434672);PA-CNS4-01;Aldea;Rural;Suburbano;Suelos suburbanos propiamente dichos;5,29615E+15;6,36241E+15
;;;;;;;;
167;(820529.9755315437, 1195902.309067859);PA-MI-01;Urquitá;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,21652E+16;9,48201E+15
;;;;;;;;
168;(820515.4477647444, 1195957.9729764645);PA-MI-01;Urquitá;Rural;Suburbano;Áreas para la localizacion de equipamientos;4,29982E+15;8,24957E+15
;;;;;;;;
169;(820611.4436302067, 1195902.4648403556);PA-MI-01;Urquitá;Rural;Suburbano;Centros poblados rurales;1,77859E+16;1,11472E+15
;;;;;;;;
170;(823998.5012230957, 1175686.7110156617);SAP-CNS2-03;Potrerito;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,23075E+16;6,0913E+15
;;;;;;;;
171;(824124.9806410883, 1175733.937428374);SAP-CNS2-03;Potrerito;Rural;Suburbano;Áreas para la localizacion de equipamientos;9,59263E+14;5,34657E+15
;;;;;;;;
172;(823944.1390584105, 1175647.7443458065);SAP-CNS2-03;Potrerito;Rural;Suburbano;Centros poblados rurales;3,47907E+15;3,00979E+16
;;;;;;;;
173;(825019.1772642963, 1175268.9910344353);SAP-CNS2-04;La Florida;Rural;Suburbano;Centros poblados rurales;4,68042E+15;3,62222E+16
;;;;;;;;
