OBJECTID,Shape,codigo,nombre,riesgo,descripcion,tipo_amenaza,categoria_proteccion,subcategoria_proteccion,Shape_Length,Shape_Area
50,"(4719901.004325435, 2247520.3143866644)",0815-8,Las Estancias,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,295.08430492137836,4313.619906940604

51,"(4719836.2015951965, 2247236.3243133123)",0815-20,Las Estancias,Alto riesgo mitigable,Zona de alto riesgo mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo mitigable,3.6351242462026634,0.265489357125821

52,"(4718851.78476876, 2250654.4019551687)",0309-1,Versalles No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,835.9041787418241,8548.709461446728

53,"(4720548.151112783, 2246922.2160155987)",9001-5,Las Palmas,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,367.5749568234115,6211.673545131496

54,"(4718869.121334169, 2251135.713673808)",0309-2,Versalles No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1056.734961876067,23504.197726723272

55,"(4709708.021061439, 2249036.996503346)",1313-1,El Coraz�n,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,92.64440496855345,75.82446658191618

56,"(4719966.653574026, 2247704.6118700653)",0819-11,Villa Lilliam,Riesgo medio,Zona de riesgo medio por movimientos en masa,Movimientos en masa,,,145.90556935141737,497.48557855285503

