OBJECTID,Shape,codigo,nombre,riesgo,descripcion,tipo_amenaza,categoria_proteccion,subcategoria_proteccion,Shape_Length,Shape_Area
75,"(4708582.912186198, 2246240.1050142962)",7001-5,Buga Patio Bonito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,771.9611914888972,10572.089072468048

76,"(4711154.477000579, 2245860.245147335)",7006-1,La Esperanza,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,81.66889744900298,390.91265239424246

77,"(4711034.573524631, 2245884.1500269747)",7006-2,La Esperanza,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,130.5548796677134,475.07964856991237

78,"(4709785.176729278, 2246347.178707292)",7006-3,La Esperanza,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,978.1127459211225,14535.036335503726

79,"(4719147.560924103, 2247383.809883512)",0813-25,Villatina,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,310.261481477565,2787.678284343169

80,"(4711831.120634493, 2253260.318980144)",0723-1,Pajarito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,120.38814113492407,894.4297944007815

81,"(4718466.518406476, 2248188.015958681)",0812-5,La Libertad,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,385.1680059747646,2899.82325716779

82,"(4719461.476873192, 2251303.025372544)",0311-7,La Cruz,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,3261.0146394671174,21801.831558286634

83,"(4713905.0916971825, 2250929.2837728453)",0703-1,San Germ�n,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,487.90044074144447,4554.824063672003

84,"(4715182.3258057665, 2245216.97992513)",1419-1,Manila,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,572.2657565796073,7458.474506834835

85,"(4706831.263476733, 2253905.5677090394)",6004-1,La Cuchilla,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,760.61437774777,7626.484466332815

86,"(4707122.114530117, 2254566.988276784)",6017-2,El Llano,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2770.018826621791,30620.511185689847

87,"(4719337.7600186495, 2251202.231342267)",0310-4,Versalles No.2,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1484.0102478333301,9440.06682646212

88,"(4711818.576363448, 2252197.144383961)",1302-1,Blanquizal,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1093.6821645466578,9851.130218310273

89,"(4717690.292839227, 2248548.192167056)",0809-6,Sucre,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,1099.4902710995066,5284.549047563622

90,"(4708056.456348312, 2252116.116317762)",6001-1,La Palma,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,249.3089197849117,1363.1178851557465

91,"(4707361.038521586, 2252170.6892214855)",6001-3,La Palma,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2927.3773068529454,53774.90509455024

92,"(4704012.7993785525, 2242854.7699345374)",8002-7,Potrerito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,11.395371779137697,3.7526320639528548

93,"(4705644.127615746, 2243252.886093947)",8002-8,Potrerito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,96.21216395988735,67.22739246510503

94,"(4705450.59550112, 2241554.010628207)",8002-9,Potrerito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,55.370184143060605,126.31396530508677

95,"(4703988.391689923, 2242776.1078479113)",8002-11,Potrerito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,162.17740974206535,1482.9060124987325

96,"(4704825.978531135, 2241876.0913353935)",8002-21,Potrerito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,474.64506451207865,6580.673980896692

97,"(4705542.963852678, 2242893.143913148)",8002-12,Potrerito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1353.4023020431082,11452.337863347659

98,"(4705704.547282044, 2242943.8720015963)",8002-19,Potrerito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,37.332280944721575,47.934708277673124

99,"(4705511.250101452, 2242590.5552507555)",8002-20,Potrerito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,40.56479881717624,78.46175265637575

100,"(4711432.258644377, 2253771.006896739)",AE1-3,�rea de Expansi�n Pajarito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,718.6309154220488,5591.020108729474

101,"(4705927.338743934, 2241743.1223709504)",AE7-4,�rea de Expansi�n San Antonio de Prado,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1955.462063993867,18480.68683456225

102,"(4705743.696250894, 2241674.9835648425)",AE7-8,�rea de Expansi�n San Antonio de Prado,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,35.355997448036774,44.00755617117866

103,"(4706375.098733333, 2241842.063866669)",AE7-9,�rea de Expansi�n San Antonio de Prado,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,7.827546093875834,1.251548957559527

104,"(4708043.055447065, 2252086.5136422175)",6014-4,La Loma,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,77.7443662297733,58.978057117691016

